date,exchange,FG,ZC,TA,PM,CF,WH,SR,RI,OI,MA,JR,RM,LR,SM,SF,WS,WT,RO,ER,ME,GN,RS,TC,CY,AP,al,fu,cu,zn,pb,bu,sn,ni,ru,au,ag,rb,hc,wr,sc,IF,TF,T,IC,IH,TS,p,v,jd,l,pp,fb,bb,i,j,jm,c,a,b,m,y,cs,s
2013-03-18,CZCE,FG1309,,TA1309,PM1307,CF1309,WH1309,SR1309,RI1309,OI1309,,,RM1309,,,,WS1305,,RO1305,ER1305,ME1305,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-19,CZCE,FG1309,,TA1309,PM1307,CF1309,WH1309,SR1309,RI1309,OI1309,,,RM1309,,,,WS1305,,RO1305,ER1305,ME1305,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-20,CZCE,FG1309,,TA1309,PM1307,CF1309,WH1309,SR1309,RI1309,OI1309,,,RM1309,,,,WS1305,,RO1305,ER1305,ME1305,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-21,CZCE,FG1309,,TA1309,PM1307,CF1309,WH1309,SR1309,RI1309,OI1309,,,RM1309,,,,WS1305,,RO1305,ER1305,ME1305,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-22,CZCE,FG1309,,TA1309,PM1307,CF1309,WH1309,SR1309,RI1309,OI1309,,,RM1309,,,,WS1305,,RO1305,ER1305,ME1305,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-25,CZCE,FG1309,,TA1309,PM1307,CF1309,WH1309,SR1309,RI1309,OI1309,,,RM1309,,,,WS1305,,RO1305,ER1305,ME1305,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-26,CZCE,FG1309,,TA1309,PM1307,CF1309,WH1309,SR1309,RI1309,OI1309,,,RM1309,,,,WS1305,,RO1305,ER1305,ME1305,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-27,CZCE,FG1309,,TA1309,PM1307,CF1309,WH1309,SR1309,RI1309,OI1309,,,RM1309,,,,WS1305,,RO1305,ER1305,ME1305,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-28,CZCE,FG1309,,TA1309,PM1307,CF1309,WH1309,SR1309,RI1309,OI1309,,,RM1309,,,,WS1305,,RO1305,ER1305,ME1305,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-29,CZCE,FG1309,,TA1309,PM1307,CF1309,WH1309,SR1309,RI1309,OI1309,,,RM1309,,,,WS1305,,RO1305,ER1305,ME1305,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-01,CZCE,FG1309,,TA1309,PM1307,CF1309,WH1309,SR1309,RI1309,OI1309,,,RM1309,,,,WS1305,,RO1305,ER1305,ME1305,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-02,CZCE,FG1309,,TA1309,PM1307,CF1309,WH1309,SR1309,RI1309,OI1309,,,RM1309,,,,WS1305,,RO1305,ER1305,ME1309,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
