datetime,open,high,low,close
2018.8.28,22.21,22.43,21.86,22.21
2018.8.29,22.59,22.81,22.45,22.7
2018.8.30,22.68,23.02,22.05,22.72
2018.8.31,23.28,23.48,22.41,22.42
2018.9.3,22.46,22.46,23.03,23.03
2018.9.4,23.03,23.17,21.98,22.1
2018.9.5,22.37,23.37,22.35,23.25
2018.9.6,23.87,24.09,23.39,23.84
2018.9.7,23.78,23.94,23.21,23.39
2018.9.10,23.39,24.74,24.16,24.54
2018.9.11,24.63,24.69,23.9,23.96
2018.9.12,23.96,24.23,23.67,23.65
2018.9.13,23.73,23.9,23,23.1
2018.9.14,23.25,23.25,21.45,21.58
2018.9.17,22.41,22.42,20.94,20.94
2018.9.18,21.13,21.14,19.57,20.37
2018.9.19,20.55,20.62,18.83,19.19
2018.9.20,19.35,19.35,18.39,18.39
2018.9.21,18.55,19.15,18.15,19.05
2018.9.25,20.93,21.3,20.44,20.47
2018.9.26,20.76,22.01,20.36,21.11
2018.9.27,21.56,21.56,20.52,20.6
2018.9.28,20.75,22.1,20.58,21.78
2018.10.8,26,27.23,24.23,24.4
2018.10.9,24.05,24.05,22.94,23.11
2018.10.10,23.22,23.22,22.56,23.12
2018.10.11,25.37,25.7,24.04,25.56
2018.10.12,26.5,26.71,25.35,25.83
2018.10.15,26.75,27.11,26.56,26.85
2018.10.16,26.88,26.88,25.37,26.38
2018.10.17,25.9,27.36,25.87,26.53
2018.10.18,26.84,28.27,26.84,28.08
2018.10.19,28.5,29.07,25.62,26.04
2018.10.22,26.83,26.85,25.41,26.15
2018.10.23,26.63,27.67,26.45,27.46
2018.10.24,27.92,28.49,27.08,27.44
2018.10.25,29.6,29.86,28.34,28.47
2018.10.26,28.68,29.98,28.67,29.37
2018.10.29,31.5,32.12,31.5,31.81
2018.10.30,32.22,32.78,31.84,31.79
2018.10.31,32.27,32.61,31.01,31.1
2018.11.1,29.44,29.51,28.47,29.06
2018.11.2,29.38,29.4,28.28,28.28
2018.11.5,29.79,30.36,29.79,30.13
2018.11.6,30.47,30.91,30.63,30.84
2018.11.7,30.92,31.08,30.73,30.9
2018.11.8,30.73,30.94,30.42,30.43
2018.11.9,30.74,31.27,30.59,30.71
2018.11.12,31.83,32.04,31.19,31.33
2018.11.13,31.88,31.89,30.49,30.59
2018.11.14,30.9,30.93,30.04,30.04
2018.11.15,30.49,30.49,29.12,29.33
2018.11.16,29.61,29.61,28.45,28.68
2018.11.19,29.64,29.67,28.13,28.13
2018.11.20,28.54,28.59,27.04,27.24
2018.11.21,27.54,27.73,26.99,27.13
2018.11.22,27.41,27.54,26.26,26.35
2018.11.23,26.52,26.52,25.34,25.62
2018.11.26,26.63,26.75,25.34,25.76
2018.11.27,25.98,26.03,24.87,24.88
2018.11.28,25.11,25.11,23.85,24.19
2018.11.29,24.15,24.38,23.68,24.33
2018.11.30,24.13,24.95,24.03,24.9
2018.12.03,24.26,24.62,22.81,22.82
2018.12.04,22.23,22.26,20.76,20.83
2018.12.05,20.92,21.24,20.71,20.78
2018.12.06,20.49,21.22,20.49,20.94
2018.12.07,21,21.05,19.8,19.91
2018.12.10,20.5,20.65,19.83,20.36
2018.12.11,20.47,20.47,20.03,20.33
2018.12.12,20.44,20.44,20.02,20.17
2018.12.13,20.27,20.27,19.15,19.2
2018.12.14,19.41,19.67,19.23,19.44
2018.12.15,20.21,21,20.21,20.33
2018.12.18,20.58,21.12,20.52,20.64
2018.12.19,20.91,20.99,20.54,20.75
2018.12.20,21.5,24,21.47,23.2
2018.12.21,23.39,25.33,23.36,23.78
2018.12.24,25.94,26.05,22.8,22.83
2018.12.25,23.8,24.49,23.49,23.85
2018.12.26,24.01,24.7,23.38,23.38
2018.12.27,23.81,23.9,23.07,23.13
2018.12.28,23.08,23.08,22.64,22.71
2019.1.2,23.48,23.48,22.13,22.22
2019.1.3,22.37,22.37,21.33,21.68
2019.1.4,22.28,22.33,21.19,21.2
2019.1.7,21.79,22.17,21.49,21.61
2019.1.8,21.67,21.7,20.55,20.69
